School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
North Attleborough Middle,N Attleboroug 2,North Attleborough,Public School,1073,20.3,13.5,26.3,11245.15,Level 2,74.0,Performing,"The school demonstrates solid English proficiency rates, particularly in 8th grade.",English proficiency,Math performance,Middle School
Hawthorne Brook,Hawthorne Brook,Townsend,Public School,490,18.3,18.0,31.4,13761.7,Level 2,52.0,Performing,Hawthorne Brook shows strong English proficiency but needs improvement in 8th grade math outcomes.,English proficiency,8th grade math,Middle School
Nissitissit Middle School,Nissitissit MS,Pepperell,Public School,526,20.5,12.4,29.7,13761.7,Level 2,74.0,Performing,Nissitissit Middle School shows strong English proficiency but average math outcomes in 7th grade.,English proficiency,7th grade math,Middle School
John F Kennedy Middle School,John F Kenned 7,Florence,Public School,638,12.3,27.0,40.3,14056.81,Level 2,45.0,Performing,The school demonstrates solid proficiency in English but has room for improvement in math outcomes.,English proficiency,Math performance,Middle School
Robert E. Melican Middle School,Robert E. Melic,Northborough,Public School,641,17.4,8.0,24.6,14848.5,Level 2,81.0,Performing,"The school shows strong proficiency rates, especially in English, despite a significant portion of high needs students.",Proficiency,W/F Rates,Middle School
Northbridge Middle,Northbridge Mid,Whitinsville,Public School,766,22.6,25.2,34.9,12437.24,Level 2,48.0,Performing,"Northbridge Middle shows solid English proficiency rates, indicating effective language instruction.",English,Math,Middle School
Norton Middle,Norton Middle,Norton,Public School,596,16.3,12.8,26.5,13218.59,Level 2,78.0,Performing,Norton Middle demonstrates solid proficiency rates in English across all grades.,Proficiency,Diversity,Middle School
Oxford Middle,Oxford Middle,Oxford,Public School,424,23.8,31.8,41.7,13125.98,Level 2,53.0,Performing,Oxford Middle has strong English proficiency but mixed results in math across grades.,English proficiency,Math performance,Middle School
J Henry Higgins Middle,J Henry Higgins,Peabody,Public School,1339,19.5,27.3,41.3,13495.79,Level 2,34.0,Performing,"The school shows solid English proficiency but struggles in math performance, particularly in 7th grade.",English,Math,Middle School
Provincetown Schools,Provincetown Sc,Provincetown,Public School,129,12.5,37.2,61.2,30505.05,Level 2,64.0,Struggling,Math proficiency rates are critically low in both 7th and 8th grades.,English performance,Math proficiency,Middle School
Quabbin Regional Middle School,Quabbin Reg MS,Barre,Public School,424,22.0,24.5,38.0,13957.09,Level 2,45.0,Performing,Quabbin Regional Middle School demonstrates solid English proficiency while maintaining average math performance.,English,Math,Middle School
Atlantic Middle,Atlantic Middle,Quincy,Public School,470,20.3,30.6,49.8,16022.62,Level 1,69.0,Performing,Atlantic Middle shows strong proficiency rates in 6th and 8th grade English and math.,Proficiency,7th grade performance,Middle School
Broad Meadows Middle,Broad Meadows M,Quincy,Public School,375,16.4,37.1,58.1,16022.62,Level 3,29.0,Struggling,"The school shows significant challenges in math proficiency, especially in higher grades.",English,Math,Middle School
Central Middle,Central Middle,Quincy,Public School,639,21.0,24.7,36.5,16022.62,Level 2,63.0,Performing,"Central Middle shows solid English proficiency, with high performance in 7th and 8th grades.",English,Math,Middle School
Point Webster Middle,Point Webster M,Quincy,Public School,335,15.9,44.2,58.2,16022.62,Level 1,62.0,Performing,The school exhibits strong English proficiency rates but struggles in math outcomes.,English proficiency,Math performance,Middle School
Reay E Sterling Middle,Reay E Sterling,Quincy,Public School,340,17.2,52.1,67.9,16022.62,Level 2,35.0,Performing,The school demonstrates solid English proficiency but faces challenges in math outcomes.,English proficiency,Math performance,Middle School
Randolph Community Middle,Randolph Comm M,Randolph,Public School,610,18.7,43.4,61.5,16051.0,Level 3,16.0,Struggling,Low math proficiency rates indicate a significant area for improvement.,English,Math,Middle School
Sandwich STEM Academy,Sandwich STEM A,Sandwich,Public School,470,21.2,14.7,27.9,15012.47,Level 2,62.0,Performing,"Sandwich STEM Academy shows solid proficiency in English, particularly in 8th grade.",English proficiency,Math performance,Middle School
Belmonte Saugus Middle,Belmonte Saugus,Saugus,Public School,652,16.4,24.1,37.0,14165.89,Level 3,19.0,Struggling,"The school shows significant disparities in math proficiency, particularly in 7th and 8th grades.",English proficiency,Math performance,Middle School
Next Wave Junior High,Next Wave JHS,Somerville,Public School,16,6.6,62.5,93.8,18165.45,Insufficient data,,At Risk,The school faces critical challenges with extremely low MCAS proficiency rates in both subjects.,Small class size,Proficiency rates,Middle School
P Brent Trottier,P Brent Trottie,Southborough,Public School,459,16.7,3.1,19.6,17060.39,Level 2,94.0,Thriving,"The school consistently achieves high MCAS proficiency rates, especially in English language arts.",Proficiency,Diversity,Middle School
Knox Trail Middle School,Knox Trail MS,Spencer,Public School,414,17.3,34.5,47.3,12730.89,Level 3,20.0,Struggling,Math proficiency rates are notably low in 6th and 7th grades.,English,Math,Middle School
McCloskey Middle School,McCloskey MS,Uxbridge,Public School,419,21.9,17.2,26.5,12755.44,Level 2,49.0,Performing,Seventh-grade math proficiency is notably low compared to other grades.,English proficiency,Math performance,Middle School
Central Tree Middle,Central Tree Mi,Rutland,Public School,402,17.2,10.2,24.9,11537.24,Level 2,75.0,Thriving,"Central Tree Middle excels with high MCAS proficiency rates, especially in English.",Proficiency,None,Middle School
Chocksett Middle School,Chocksett MS,Sterling,Public School,377,18.6,8.5,18.6,11537.24,Level 1,85.0,Thriving,Chocksett Middle School excels with high English proficiency rates across all grades.,Proficiency,None,Middle School
Mountview Middle,Mountview Middl,Holden,Public School,809,21.0,9.4,20.4,11537.24,Level 1,87.0,Thriving,"Mountview Middle excels in English proficiency rates, particularly in the 8th grade.",Proficiency,None,Middle School
Wareham Middle,Wareham Middle,Wareham,Public School,767,17.0,45.9,55.1,14566.67,Level 3,16.0,Struggling,"The school shows significant challenges in math proficiency, particularly in 7th grade.",English,Math,Middle School
Wellesley Middle,Wellesley Middl,Wellesley,Public School,1145,17.5,5.6,20.2,18185.37,Level 2,92.0,Thriving,Wellesley Middle boasts high proficiency rates and low warning/fail percentages in both math and English.,Proficiency,None,Middle School
North Middle School,N MS 2,Westfield,Public School,640,19.6,25.9,38.3,13622.87,Level 2,37.0,Performing,North Middle School demonstrates solid English outcomes while math proficiency needs improvement.,English,Math,Middle School
South Middle School,S MS 3,Westfield,Public School,590,17.4,37.6,51.0,13622.87,Level 3,17.0,Struggling,"The school has low proficiency rates in 8th grade math, indicating a significant area of concern.",English proficiency,Math proficiency,Middle School
Wilmington Middle School,Wilmington MS,Wilmington,Public School,869,19.1,9.1,23.4,15501.99,Level 2,54.0,Performing,Wilmington MS shows solid English proficiency rates but mixed outcomes in math.,English proficiency,Math performance,Middle School
McCall Middle,McCall Middle,Winchester,Public School,1133,22.0,4.2,24.8,12800.52,Level 2,86.0,Thriving,"McCall Middle shows exceptional proficiency rates, particularly in English across all grades.",Proficiency,Equity,Middle School
